Code INSEE,Commune,Population municipale,Année
91182,Courcouronnes,13466,2013
91340,Lisses,7579,2013
91573,SAINT-PIERRE-DU-PERRAY,7733,2006
77296,Moissy-Cramayel,17243,2011
91228,EVRY,52802,2007
91086,Bondoufle,9152,2012
91286,Grigny,27713,2012
91086,BONDOUFLE,8120,1982
77251,Lieusaint,10441,2011
91179,Le Coudray-Montceaux,4725,2011
91286,Grigny,28295,2014
91521,Ris-Orangis,26800,2012
91340,LISSES,6871,2007
91600,SOISY-SUR-SEINE,7200,2007
91086,Bondoufle,9334,2009
91225,Étiolles,3095,2009
91086,Bondoufle,9198,2013
91228,EVRY,52651,2006
91617,TIGERY,1767,2006
77445,SAVIGNY-LE-TEMPLE,25130,2006
91182,Courcouronnes,14101,2008
91435,MORSANG-SUR-SEINE,380,1999
77445,SAVIGNY-LE-TEMPLE,22339,1999
77122,COMBS-LA-VILLE,21450,2007
91225,Étiolles,3135,2012
91553,Saint-Germain-lès-Corbeil,7446,2014
91573,SAINT PIERRE DU PERRAY,611,1968
91521,RIS-ORANGIS,24677,1990
91577,SAINTRY-SUR-SEINE,5190,2007
91521,Ris-Orangis,27339,2009
77445,SAVIGNY-LE-TEMPLE,18520,1990
91577,SAINTRY-SUR-SEINE,4998,1999
91553,Saint-Germain-lès-Corbeil,7106,2009
77296,Moissy-Cramayel,17186,2008
91179,Le Coudray-Montceaux,4728,2012
77251,Lieusaint,10508,2012
91553,SAINT-GERMAIN-LES-CORBEIL,4379,1975
77296,MOISSY-CRAMAYEL,16549,2006
91228,Évry,52135,2010
91573,Saint-Pierre-du-Perray,10151,2014
91086,Bondoufle,9222,2011
77067,Cesson,9092,2011
91659,VILLABE,4852,2007
77326,Nandy,5851,2011
77384,Réau,1321,2011
91600,SOISY SUR SEINE,2405,1968
91225,ETIOLLES,2107,1990
77251,LIEUSAINT,9355,2006
91600,Soisy-sur-Seine,7174,2008
77067,Cesson,8012,2008
77122,Combs-la-Ville,21554,2010
91617,TIGERY,430,1975
91573,SAINT-PIERRE-DU-PERRAY,1849,1982
77326,NANDY,1548,1982
91340,Lisses,7173,2010
91228,Évry,52349,2012
91086,Bondoufle,9132,2014
77495,VERT-SAINT-DENIS,7129,2006
91340,LISSES,6911,2006
91521,RIS-ORANGIS,26620,2006
77067,Cesson,8296,2009
91286,Grigny,26860,2009
91659,Villabé,5168,2012
77067,CESSON,7878,1990
91228,Évry,52500,2008
91553,Saint-Germain-lès-Corbeil,7100,2008
91577,Saintry-sur-Seine,5093,2010
91659,Villabé,4869,2010
91086,BONDOUFLE,7719,1990
77384,Réau,1096,2010
77122,COMBS-LA-VILLE,11093,1975
91659,VILLABE,2554,1982
91573,SAINT-PIERRE-DU-PERRAY,7818,2007
91577,Saintry-sur-Seine,5140,2011
91617,Tigery,3346,2014
91600,SOISY-SUR-SEINE,7191,2006
77296,Moissy-Cramayel,17500,2013
91600,SOISY-SUR-SEINE,7145,1990
77445,Savigny-le-Temple,29074,2011
91600,SOISY-SUR-SEINE,6201,1982
91521,Ris-Orangis,27463,2010
91577,SAINTRY-SUR-SEINE,3046,1975
91435,Morsang-sur-Seine,529,2012
91617,Tigery,2532,2009
77296,Moissy-Cramayel,17010,2009
77326,Nandy,5774,2009
91225,ETIOLLES,1530,1975
77251,LIEUSAINT,5200,1990
77384,Réau,1046,2008
77495,Vert-Saint-Denis,6966,2010
91435,Morsang-sur-Seine,535,2013
91600,Soisy-sur-Seine,6947,2013
77251,LIEUSAINT,510,1982
91086,BONDOUFLE,9129,1999
91617,TIGERY,1257,1999
91286,GRIGNY,26637,2007
77296,MOISSY-CRAMAYEL,16932,2007
91553,SAINT GERMAIN LES CORBEIL,650,1968
77326,NANDY,349,1968
91435,MORSANG-SUR-SEINE,502,2006
77326,Nandy,5867,2013
77445,Savigny-le-Temple,30068,2013
91577,Saintry-sur-Seine,5154,2008
91617,Tigery,2308,2008
91577,SAINTRY-SUR-SEINE,4929,1990
77122,COMBS-LA-VILLE,13759,1982
77495,VERT-SAINT-DENIS,4458,1982
77384,REAU,1009,2007
91600,Soisy-sur-Seine,6922,2011
91600,Soisy-sur-Seine,6944,2014
91286,GRIGNY,24512,1999
77251,Lieusaint,10416,2009
77326,NANDY,5935,2006
91600,Soisy-sur-Seine,6996,2015
91286,GRIGNY,28424,2015
77251,Lieusaint,13242,2015
77326,NANDY,5910,2015
77445,Savigny-le-Temple,30260,2015
91577,Saintry-sur-Seine,5654,2015
91617,Tigery,3449,2015
77122,COMBS-LA-VILLE,22154,2015
77495,VERT-SAINT-DENIS,7369,2015
77384,REAU,1777,2015
91182,Courcouronnes,13344,2015
91340,Lisses,7586,2015
